,movie,year,run_time,genre,rating,about,keywords
0,the mitchells vs the machines,2021,113 min,animation  adventure  comedy            ,7.8,a quirky dysfunctional familys road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanitys unlikeliest last hope,a quirky dysfunctional familys road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanitys unlikeliest last hope animation  adventure  comedy            
1,zack snyder's justice league,2021,242 min,action  adventure  fantasy            ,8.2,determined to ensure supermans ultimate sacrifice was not in vain bruce wayne aligns forces with diana prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions,determined to ensure supermans ultimate sacrifice was not in vain bruce wayne aligns forces with diana prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions action  adventure  fantasy            
2,the father,2020,97 min,drama            ,8.3,a man refuses all assistance from his daughter as he ages as he tries to make sense of his changing circumstances he begins to doubt his loved ones his own mind and even the fabric of his reality,a man refuses all assistance from his daughter as he ages as he tries to make sense of his changing circumstances he begins to doubt his loved ones his own mind and even the fabric of his reality drama            
3,sound of metal,2019,120 min,drama  music            ,7.8,a heavymetal drummers life is thrown into freefall when he begins to lose his hearing,a heavymetal drummers life is thrown into freefall when he begins to lose his hearing drama  music            
4,avengers: endgame,2019,181 min,action  adventure  drama            ,8.4,after the devastating events of avengers infinity war 2018 the universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos actions and restore balance to the universe,after the devastating events of avengers infinity war 2018 the universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos actions and restore balance to the universe action  adventure  drama            
5,another round,2020,117 min,comedy  drama            ,7.8,four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives,four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives comedy  drama            
6,once upon a time in hollywood,2019,161 min,comedy  drama            ,7.6,a faded television actor and his stunt double strive to achieve fame and success in the final years of hollywoods golden age in 1969 los angeles,a faded television actor and his stunt double strive to achieve fame and success in the final years of hollywoods golden age in 1969 los angeles comedy  drama            
7,the shawshank redemption,1994,142 min,drama            ,9.3,two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency,two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency drama            
8,knives out,2019,130 min,comedy  crime  drama            ,7.9,a detective investigates the death of a patriarch of an eccentric combative family,a detective investigates the death of a patriarch of an eccentric combative family comedy  crime  drama            
9,the godfather,1972,175 min,crime  drama            ,9.2,an organized crime dynastys aging patriarch transfers control of his clandestine empire to his reluctant son,an organized crime dynastys aging patriarch transfers control of his clandestine empire to his reluctant son crime  drama            
10,parasite,2019,132 min,comedy  drama  thriller            ,8.6,greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan,greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan comedy  drama  thriller            
11,soul,2020,100 min,animation  adventure  comedy            ,8.1,after landing the gig of a lifetime a new york jazz pianist suddenly finds himself trapped in a strange land between earth and the afterlife,after landing the gig of a lifetime a new york jazz pianist suddenly finds himself trapped in a strange land between earth and the afterlife animation  adventure  comedy            
12,the gentlemen,2019,113 min,action  comedy  crime            ,7.8,an american expat tries to sell off his highly profitable marijuana empire in london triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him,an american expat tries to sell off his highly profitable marijuana empire in london triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him action  comedy  crime            
13,big fish,2003,125 min,adventure  drama  fantasy            ,8.0,a frustrated son tries to determine the fact from fiction in his dying fathers life,a frustrated son tries to determine the fact from fiction in his dying fathers life adventure  drama  fantasy            
14,titanic,1997,194 min,drama  romance            ,7.8,a seventeenyearold aristocrat falls in love with a kind but poor artist aboard the luxurious illfated rms titanic,a seventeenyearold aristocrat falls in love with a kind but poor artist aboard the luxurious illfated rms titanic drama  romance            
15,harry potter and the philosopher's stone,2001,152 min,adventure  family  fantasy            ,7.6,an orphaned boy enrolls in a school of wizardry where he learns the truth about himself his family and the terrible evil that haunts the magical world,an orphaned boy enrolls in a school of wizardry where he learns the truth about himself his family and the terrible evil that haunts the magical world adventure  family  fantasy            
